9729
1103	1759	39
1295	72	40
1620	1080	41
1323	15	40
30	166	42
795	496	43
864	180	40
104	72	40
962	963	44
743	38	40
1138	36	40
612	641	45
1208	1288	46
801	36	40
1198	270	41
1731	8	40
1481	85	47
2042	8	40
1703	769	39
963	570	42
83	3980	48
277	570	42
1605	332	49
672	1253	44
17	2010	50
1154	1147	49
710	15	40
1453	180	40
881	72	40
1246	1247	49
108	74	40
1630	38	40
271	180	40
3989	918	50
1336	196	48
3960	981	51
1695	74	40
1814	1230	39
1976	288	52
1348	670	53
383	860	51
630	1193	42
798	31	40
1643	499	48
1789	137	54
1129	180	40
328	329	49
640	36	40
1426	1427	39
203	8	40
3996	31	40
1918	180	40
1382	3999	54
659	3970	48
1309	85	47
1690	38	40
1528	72	40
436	1293	53
709	8	40
925	1442	41
395	396	43
1664	1537	49
622	1584	49
1639	8	40
256	1059	48
1419	85	47
1670	38	40
1367	180	40
1628	652	54
223	1297	43
973	180	40
4011	1943	50
1674	72	40
1537	698	44
1314	801	43
498	959	44
882	31	40
3955	31	40
4002	1593	50
1349	17	52
1450	85	47
1847	882	41
1542	1148	49
1181	72	40
767	180	40
1873	383	48
512	1167	49
1742	788	50
227	228	52
1121	31	40
1330	128	40
1535	1792	53
1526	1913	46
1051	564	41
445	1065	39
671	1253	52
2055	38	40
281	282	41
73	2002	55
208	36	40
1131	342	49
1172	72	40
110	963	41
479	1964	42
455	36	40
1800	1742	48
1962	1753	43
761	40	52
912	1130	39
641	708	39
290	180	40
1396	1174	41
3975	809	50
993	8	40
524	525	44
1067	4001	54
1874	389	54
637	1242	50
2025	1600	39
310	547	41
213	31	40
171	128	40
1733	15	40
486	180	40
701	1400	39
1249	180	40
1918	1174	44
703	36	40
926	155	41
562	72	40
1481	985	43
2041	40	54
1549	6	40
926	1464	43
479	1558	50
1588	1589	55
1035	179	54
1181	402	39
178	179	52
462	72	40
985	3960	52
1450	698	41
964	6	40
235	180	40
662	188	41
1657	3994	52
572	180	40
1855	953	48
1223	128	40
514	3988	41
724	180	40
833	468	48
3985	31	40
1177	15	40
380	381	49
1264	363	53
379	85	47
81	180	40
858	1359	49
603	8	40
1708	479	54
1774	15	40
105	106	41
1834	4016	54
1716	606	39
610	72	40
111	8	40
839	36	40
3961	628	50
1380	36	40
1107	15	40
1084	85	47
777	308	42
1539	72	40
1806	1581	43
1659	85	47
480	1556	46
1016	868	42
1062	608	44
1913	1076	54
1976	36	40
102	386	54
916	36	40
3958	1744	51
1566	128	40
1773	6	40
4007	570	42
919	128	40
1889	128	40
3971	31	40
1018	1577	49
1320	180	40
574	72	40
1269	6	40
593	128	40
664	3950	41
1986	15	40
1217	6	40
1464	36	40
2037	38	40
641	134	40
1347	128	40
1851	1602	43
1474	8	40
1637	6	40
1529	180	40
1550	3984	52
3970	308	42
625	36	40
756	952	46
70	686	39
1404	1834	46
1334	1705	39
254	255	40
1487	721	43
1436	978	46
1008	6	40
4015	1259	42
345	128	40
768	180	40
356	31	40
1304	6	40
336	180	40
1778	128	40
187	128	40
1467	467	44
780	6	40
906	36	40
280	761	43
77	36	40
317	318	39
741	742	46
452	453	41
406	4006	44
3955	967	50
1584	244	44
1915	85	47
249	72	40
1212	1468	43
475	1579	49
1069	128	40
1087	938	49
615	539	49
901	902	53
851	255	40
1407	6	40
1090	85	47
1543	76	41
528	3989	44
1591	861	43
1269	1194	43
90	1126	39
880	1002	48
341	173	50
1805	1529	49
1711	6	40
866	36	40
1550	36	40
1197	580	41
403	8	40
1421	180	40
458	384	43
546	85	47
1836	72	40
24	31	40
1367	3971	44
269	72	40
149	1262	49
626	72	40
238	31	40
1263	1318	52
1873	72	40
304	6	40
1979	977	44
1998	3976	54
1849	180	40
383	166	42
1013	148	44
1877	551	41
1060	8	40
132	31	40
1908	1864	43
620	180	40
387	36	40
269	488	48
1534	38	40
1429	15	40
243	85	47
726	288	41
304	85	47
1123	1124	46
4011	31	40
1894	85	47
1417	790	48
879	36	40
297	72	40
612	180	40
1468	107	52
489	128	40
352	781	51
3973	1235	51
631	6	40
434	218	44
580	31	40
1992	74	40
761	620	49
44	1076	44
847	6	40
1847	483	43
1384	3966	54
897	180	40
1785	85	47
1512	1211	54
549	15	40
1709	72	40
653	4007	41
928	72	40
711	947	41
2020	38	40
863	72	40
347	1411	39
448	264	43
1314	4011	41
1523	2041	46
1401	6	40
1137	309	54
265	180	40
905	1810	43
931	457	50
285	3974	44
648	6	40
1269	3998	41
1411	180	40
638	468	52
1449	1483	43
616	1313	39
19	31	40
436	4008	44
3954	31	40
519	36	40
1092	350	39
1851	10	41
307	986	42
770	128	40
898	3948	52
3972	416	50
3956	3	42
193	15	40
78	128	40
946	541	52
1276	15	40
1727	1139	49
1262	1098	44
381	135	53
592	47	52
748	4007	48
1336	1225	39
1179	309	52
1676	1224	52
1458	38	40
543	6	40
455	3962	52
287	31	40
463	31	40
3997	1937	51
323	150	53
3994	308	42
527	1578	39
1544	811	54
430	36	40
1373	1579	39
1004	1942	46
13	1832	42
1695	1268	55
1756	333	39
1543	85	47
1608	329	39
10	31	40
997	769	49
584	1432	51
625	3966	52
666	85	47
453	166	42
962	41	53
242	637	52
1434	983	39
1007	1241	49
1956	977	54
923	1857	50
1062	180	40
1318	31	40
179	31	40
1819	374	52
1182	180	40
1624	116	41
209	503	44
411	31	40
1403	85	47
1807	128	40
1754	1692	43
30	31	40
366	180	40
1046	453	48
1884	38	40
3978	31	40
1040	1186	53
1974	1705	49
310	85	47
1403	6	40
53	570	42
478	313	52
1497	3970	54
491	128	40
1221	1747	39
548	139	48
